WP 1/3 AVOID     X:  +0.1 Y:  -0.0 Z:-1.95 V:+0.12 Vz:-0.02 D:29.9м dZ:+1.05 [ОБХОД:PASS] RPY:-0/-1/-4° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+2°] | СЕНС[ор:KALMAN mag:-28° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+9° гор:+34/+29° B:49%
WP 1/3 AVOID     X:  +0.1 Y:  -0.0 Z:-1.96 V:+0.13 Vz:-0.03 D:29.9м dZ:+1.04 [ОБХОД:PASS] RPY:-0/-2/-3° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+1°] | СЕНС[ор:KALMAN mag:-28° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+1° гор:+32/+31° B:49%
WP 1/3 AVOID     X:  +0.2 Y:  -0.0 Z:-1.96 V:+0.14 Vz:-0.01 D:29.8м dZ:+1.04 [ОБХОД:PASS] RPY:-0/-2/-4° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+2°] | СЕНС[ор:KALMAN mag:-28° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+5° гор:+30/+33° B:50%
WP 1/3 AVOID     X:  +0.2 Y:  -0.0 Z:-1.96 V:+0.15 Vz:-0.01 D:29.8м dZ:+1.04 [ОБХОД:PASS] RPY:-0/-2/-3° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+1°] | СЕНС[ор:KALMAN mag:-28° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+4° гор:+27/+36° B:50%
WP 1/3 AVOID     X:  +0.2 Y:  -0.0 Z:-1.96 V:+0.16 Vz:-0.00 D:29.8м dZ:+1.04 [ОБХОД:PASS] RPY:-0/-2/-3° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+1°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+2° гор:+25/+38° B:49%
WP 1/3 AVOID     X:  +0.2 Y:  -0.0 Z:-1.96 V:+0.17 Vz:-0.00 D:29.8м dZ:+1.04 [ОБХОД:PASS] RPY:+0/-1/-3° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+1°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+1° гор:+24/+39° B:49%
WP 1/3 AVOID     X:  +0.3 Y:  -0.0 Z:-1.96 V:+0.17 Vz:-0.00 D:29.7м dZ:+1.04 [ОБХОД:PASS] RPY:+0/-0/-3° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+1°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+1° гор:+23/+40° B:49%
WP 1/3 AVOID     X:  +0.3 Y:  -0.0 Z:-1.96 V:+0.17 Vz:-0.01 D:29.7м dZ:+1.04 [ОБХОД:PASS] RPY:+0/+0/-2° Сонар:12.4м | СОНАР[лучи:4 бл:12.4м L∞ R∞ U∞ D∞ dir:C yaw_av:-0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:-6° гор:+25/+38° B:49%
WP 1/3 AVOID     X:  +0.3 Y:  -0.0 Z:-1.96 V:+0.17 Vz:-0.01 D:29.7м dZ:+1.04 [ОБХОД:PASS] RPY:+0/+1/-2° Сонар:12.4м | СОНАР[лучи:4 бл:12.4м L∞ R∞ U∞ D∞ dir:C yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:-1° гор:+27/+36° B:49%
WP 1/3 AVOID     X:  +0.3 Y:  +0.0 Z:-1.96 V:+0.17 Vz:-0.02 D:29.7м dZ:+1.04 [ОБХОД:PASS] RPY:+0/+1/-2° Сонар:12.3м | СОНАР[лучи:4 бл:12.3м L∞ R∞ U∞ D∞ dir:C yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:-1° гор:+30/+33° B:49%
WP 1/3 AVOID     X:  +0.4 Y:  +0.0 Z:-1.97 V:+0.17 Vz:-0.02 D:29.6м dZ:+1.03 [ОБХОД:PASS] RPY:+0/+1/-2° Сонар:12.3м | СОНАР[лучи:4 бл:12.3м L∞ R∞ U∞ D∞ dir:C yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:-1° гор:+33/+30° B:49%
